"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","94903","Disappearing video message 1:1 @android @low-risk @2-devices","","Tue Jun 24 17:20:47 AEST 2025","passed","Tue Jun 24 17:22:22 AEST 2025","","disappearing_video.spec.ts","",""
"","81696","Disappearing voice message 1:1 @android @low-risk @2-devices","","Tue Jun 24 17:21:30 AEST 2025","passed","Tue Jun 24 17:22:52 AEST 2025","","disappearing_voice.spec.ts","",""
"","87499","Disappearing video to group @android @low-risk @3-devices","","Tue Jun 24 17:29:35 AEST 2025","passed","Tue Jun 24 17:31:03 AEST 2025","","group_disappearing_messages_video.spec.ts","",""
"","2","Hide note to self @android @low-risk @1-devices","","Tue Jun 24 17:16:48 AEST 2025","skipped","Tue Jun 24 17:16:48 AEST 2025","","user_actions_hide_note_to_self.spec.ts","",""
"","45172","Unblock user @android @low-risk @2-devices","","Tue Jun 24 17:23:52 AEST 2025","passed","Tue Jun 24 17:24:37 AEST 2025","","user_actions_unblock_user.spec.ts","",""
"","55169","Check performance @android @low-risk @2-devices","","Tue Jun 24 17:22:52 AEST 2025","passed","Tue Jun 24 17:23:47 AEST 2025","","message_check_performance.spec.ts","",""
"","3","Disappearing call message 1o1 @android @low-risk @2-devices","","Tue Jun 24 17:17:59 AEST 2025","skipped","Tue Jun 24 17:17:59 AEST 2025","","disappearing_call.spec.ts","",""
"","33119","Onboarding no seed @android @low-risk @1-devices","","Tue Jun 24 17:16:01 AEST 2025","passed","Tue Jun 24 17:16:34 AEST 2025","","input_validations/onboarding_no_seed.spec.ts","",""
"","83846","Disappearing voice message to group @android @low-risk @3-devices","","Tue Jun 24 17:31:03 AEST 2025","passed","Tue Jun 24 17:32:27 AEST 2025","","group_disappearing_messages_voice.spec.ts","",""
"","92653","Disappearing image message to group @android @low-risk @3-devices","","Tue Jun 24 17:26:31 AEST 2025","passed","Tue Jun 24 17:28:04 AEST 2025","","group_disappearing_messages_image.spec.ts","",""
"","91259","Disappearing link to group @android @low-risk @3-devices","","Tue Jun 24 17:28:04 AEST 2025","passed","Tue Jun 24 17:29:35 AEST 2025","","group_disappearing_messages_link.spec.ts","",""
"","29595","Onboarding long name @android @low-risk @1-devices","","Tue Jun 24 17:16:01 AEST 2025","passed","Tue Jun 24 17:16:31 AEST 2025","","input_validations/onboarding_long_name.spec.ts","",""
"","55557","Send long message 1:1 @android @low-risk @2-devices","","Tue Jun 24 17:23:47 AEST 2025","passed","Tue Jun 24 17:24:42 AEST 2025","","message_long_text.spec.ts","",""
"","80983","Disappearing link message 1:1 @android @low-risk @2-devices","","Tue Jun 24 17:20:09 AEST 2025","passed","Tue Jun 24 17:21:30 AEST 2025","","disappearing_link.spec.ts","",""
"","86096","Disappearing community invite message 1:1 @android @low-risk @2-devices","","Tue Jun 24 17:18:00 AEST 2025","passed","Tue Jun 24 17:19:26 AEST 2025","","disappearing_community_invite.spec.ts","",""
"","34492","Landing page new account @android @low-risk @1-devices","","Tue Jun 24 17:17:14 AEST 2025","failed","Tue Jun 24 17:17:49 AEST 2025","","landing_page_new_account.spec.ts","",""
"","41310","Refresh network page @android @low-risk @1-devices","","Tue Jun 24 17:17:09 AEST 2025","passed","Tue Jun 24 17:17:50 AEST 2025","","network_page_refresh_page.spec.ts","",""
"","0","Hide note to self linked device @android @low-risk @2-devices","","Tue Jun 24 17:22:52 AEST 2025","skipped","Tue Jun 24 17:22:52 AEST 2025","","linked_device_hide_note_to_self.spec.ts","",""
"","48875","Onboarding incorrect seed @android @low-risk @1-devices","","Tue Jun 24 17:16:01 AEST 2025","passed","Tue Jun 24 17:16:50 AEST 2025","","input_validations/onboarding_incorrect_seed.spec.ts","",""
"","1","Share to session @android @low-risk @2-devices","","Tue Jun 24 17:23:50 AEST 2025","skipped","Tue Jun 24 17:23:50 AEST 2025","","user_actions_share_to_session.spec.ts","",""
"","54014","Send long message to group @android @low-risk @3-devices","","Tue Jun 24 17:32:27 AEST 2025","passed","Tue Jun 24 17:33:21 AEST 2025","","group_message_long_text.spec.ts","",""
"","81428","Disappearing image message 1:1 @android @low-risk @2-devices","","Tue Jun 24 17:19:26 AEST 2025","passed","Tue Jun 24 17:20:47 AEST 2025","","disappearing_image.spec.ts","",""
"","129108","Disappearing GIF message 1:1 @android @low-risk @2-devices","","Tue Jun 24 17:18:00 AEST 2025","passed","Tue Jun 24 17:20:09 AEST 2025","","disappearing_gif.spec.ts","",""
"","101253","Disappearing GIF to group @android @low-risk @3-devices","","Tue Jun 24 17:24:50 AEST 2025","passed","Tue Jun 24 17:26:31 AEST 2025","","group_disappearing_messages_gif.spec.ts","",""
"","46455","Landing page restore account @android @low-risk @2-devices","","Tue Jun 24 17:23:04 AEST 2025","failed","Tue Jun 24 17:23:50 AEST 2025","","landing_page_restore_account.spec.ts","",""
"","32198","Onboarding no name @android @low-risk @1-devices","","Tue Jun 24 17:16:01 AEST 2025","passed","Tue Jun 24 17:16:34 AEST 2025","","input_validations/onboarding_no_name.spec.ts","",""
"","16836","Onboarding wrong seed @android @low-risk @1-devices","","Tue Jun 24 17:16:31 AEST 2025","passed","Tue Jun 24 17:16:48 AEST 2025","","input_validations/onboarding_wrong_seed.spec.ts","",""
