"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47253","Delete message linked device @android @high-risk @3-devices","","Fri Jun 27 15:03:16 AEST 2025","passed","Fri Jun 27 15:04:03 AEST 2025","","linked_device_delete_message.spec.ts","",""
"","44157","Set nickname @android @high-risk @2-devices","","Fri Jun 27 14:44:30 AEST 2025","passed","Fri Jun 27 14:45:14 AEST 2025","","user_actions_set_nickname.spec.ts","",""
"","53584","Unsend message @android @high-risk @2-devices","","Fri Jun 27 14:42:38 AEST 2025","passed","Fri Jun 27 14:43:32 AEST 2025","","message_unsend.spec.ts","",""
"","90927","Accept message request @android @high-risk @3-devices","","Fri Jun 27 15:09:11 AEST 2025","passed","Fri Jun 27 15:10:42 AEST 2025","","message_requests_accept.spec.ts","",""
"","56390","Unsend message in group @android @high-risk @3-devices","","Fri Jun 27 14:52:57 AEST 2025","passed","Fri Jun 27 14:53:54 AEST 2025","","group_message_unsend.spec.ts","",""
"","44581","Send document to group @android @high-risk @3-devices","","Fri Jun 27 14:50:02 AEST 2025","failed","Fri Jun 27 14:50:47 AEST 2025","","group_message_document.spec.ts","",""
"","44248","Delete message locally @android @high-risk @2-devices","","Fri Jun 27 14:39:09 AEST 2025","passed","Fri Jun 27 14:39:53 AEST 2025","","message_deletion.spec.ts","",""
"","51202","Delete message request in list @android @high-risk @2-devices","","Fri Jun 27 14:42:04 AEST 2025","passed","Fri Jun 27 14:42:55 AEST 2025","","message_requests_delete.spec.ts","",""
"","66095","Send image to group @android @high-risk @3-devices","","Fri Jun 27 14:50:48 AEST 2025","passed","Fri Jun 27 14:51:54 AEST 2025","","group_message_image.spec.ts","",""
"","52331","Accept message request with text @android @high-risk @2-devices","","Fri Jun 27 14:41:43 AEST 2025","passed","Fri Jun 27 14:42:35 AEST 2025","","message_requests_accept_text_reply.spec.ts","",""
"","63865","Send voice message to group @android @high-risk @3-devices","","Fri Jun 27 14:53:54 AEST 2025","passed","Fri Jun 27 14:54:57 AEST 2025","","group_message_voice.spec.ts","",""
"","58125","Send image 1:1 @android @high-risk @2-devices","","Fri Jun 27 14:39:57 AEST 2025","passed","Fri Jun 27 14:40:55 AEST 2025","","message_image.spec.ts","",""
