"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37249","Delete message in group @android @high-risk @3-devices","","Thu Aug 07 17:28:21 AEST 2025","passed","Thu Aug 07 17:28:58 AEST 2025","","group_message_delete.spec.ts","",""
"","19884","Avatar color linked device @android @medium-risk @2-devices","","Thu Aug 07 17:04:09 AEST 2025","passed","Thu Aug 07 17:04:28 AEST 2025","","linked_device_avatar_color.spec.ts","",""
"","42519","Send community invitation @android @medium-risk @2-devices","","Thu Aug 07 17:05:41 AEST 2025","passed","Thu Aug 07 17:06:23 AEST 2025","","message_community_invitation.spec.ts","",""
"Verifies that a user can be unblocked after being blocked","38469","Unblock user @android @low-risk @2-devices","User Actions","Thu Aug 07 17:13:14 AEST 2025","passed","Thu Aug 07 17:13:53 AEST 2025","","Block/Unblock","",""
"","41963","Hide recovery password @android @medium-risk @2-devices","","Thu Aug 07 17:11:07 AEST 2025","passed","Thu Aug 07 17:11:49 AEST 2025","","user_actions_hide_recovery_password.spec.ts","",""
"","14728","Warning modal on new account @android @medium-risk @1-devices","","Thu Aug 07 16:55:45 AEST 2025","passed","Thu Aug 07 16:56:00 AEST 2025","","warning_modal_new_account.spec.ts","",""
"","32086","Link device @android @high-risk @2-devices","","Thu Aug 07 17:05:09 AEST 2025","passed","Thu Aug 07 17:05:41 AEST 2025","","linked_device.spec.ts","",""
"Verifies that the in-app review prompt shows once after triggered","25603","Review prompt once @android @medium-risk @1-devices","In-App Review Prompt","Thu Aug 07 16:54:40 AEST 2025","passed","Thu Aug 07 16:55:06 AEST 2025","","Triggers","",""
"","32393","Change group name @android @medium-risk @3-devices","","Thu Aug 07 17:39:55 AEST 2025","passed","Thu Aug 07 17:40:27 AEST 2025","","group_tests_change_group_name.spec.ts","",""
"","19875","Create user @android @high-risk @1-devices","","Thu Aug 07 16:55:25 AEST 2025","passed","Thu Aug 07 16:55:45 AEST 2025","","user_actions_create_user.spec.ts","",""
"Verifies the alternate icons on the App Disguise page look as expected","30887","App disguise icons @android @medium-risk @1-devices","Settings","Thu Aug 07 16:53:06 AEST 2025","passed","Thu Aug 07 16:53:37 AEST 2025","","App Disguise","",""
"","36015","Send long message 1:1 @android @low-risk @2-devices","","Thu Aug 07 17:08:01 AEST 2025","passed","Thu Aug 07 17:08:37 AEST 2025","","message_long_text.spec.ts","",""
"Verifies that a user can share an image from the photo gallery to Session","37915","Share to session @android @medium-risk @2-devices","User Actions","Thu Aug 07 17:12:36 AEST 2025","passed","Thu Aug 07 17:13:14 AEST 2025","","Share to Session","",""
"","40503","Change username @android @medium-risk @1-devices","","Thu Aug 07 16:55:24 AEST 2025","passed","Thu Aug 07 16:56:04 AEST 2025","","user_actions_change_username.spec.ts","",""
"","9694","Onboarding incorrect seed @android @low-risk @1-devices","","Thu Aug 07 16:53:37 AEST 2025","passed","Thu Aug 07 16:53:47 AEST 2025","","input_validations/onboarding_incorrect_seed.spec.ts","",""
"Verifies that a video disappears as expected in a 1:1 conversation","110270","Disappearing video message 1:1 @android @low-risk @2-devices","Disappearing Messages","Thu Aug 07 17:01:54 AEST 2025","passed","Thu Aug 07 17:03:44 AEST 2025","","Message Types","",""
"","38580","Delete conversation from conversation settings @android @high-risk @3-devices","User Actions","Thu Aug 07 18:00:17 AEST 2025","passed","Thu Aug 07 18:00:56 AEST 2025","","Delete Conversation","",""
"","54771","Send document to group @android @high-risk @3-devices","","Thu Aug 07 17:28:58 AEST 2025","passed","Thu Aug 07 17:29:53 AEST 2025","","group_message_document.spec.ts","",""
"","35096","Delete message request in list @android @high-risk @2-devices","","Thu Aug 07 17:08:57 AEST 2025","passed","Thu Aug 07 17:09:32 AEST 2025","","message_requests_delete.spec.ts","",""
"","18541","Refresh network page @android @low-risk @1-devices","","Thu Aug 07 16:54:20 AEST 2025","passed","Thu Aug 07 16:54:39 AEST 2025","","network_page_refresh_page.spec.ts","",""
"","25376","Network page learn more staking link @android @medium-risk @1-devices","","Thu Aug 07 16:54:18 AEST 2025","passed","Thu Aug 07 16:54:43 AEST 2025","","network_page_link_staking.spec.ts","",""
"","12842","Onboarding terms of service @android @high-risk @1-devices","","Thu Aug 07 16:54:26 AEST 2025","passed","Thu Aug 07 16:54:38 AEST 2025","","onboarding_tos.spec.ts","",""
"Verifies that 'Disappear After Read' can be set in a 1:1 conversation, and that a message disappears after the specified expiry time.","69474","Disappear after read @android @high-risk @2-devices","Disappearing Messages","Thu Aug 07 16:57:32 AEST 2025","passed","Thu Aug 07 16:58:41 AEST 2025","","Conversation Types","",""
"","43677","Mentions for groups @android @medium-risk @3-devices","","Thu Aug 07 17:44:04 AEST 2025","passed","Thu Aug 07 17:44:47 AEST 2025","","group_tests_mentions.spec.ts","",""
"Verifies the alternate icon set on the App Disguise page is applied","37102","App disguise set icon @android @medium-risk @1-devices","Settings","Thu Aug 07 16:53:06 AEST 2025","passed","Thu Aug 07 16:53:44 AEST 2025","","App Disguise","",""
"","52831","Send GIF to group @android @medium-risk @3-devices","","Thu Aug 07 17:31:34 AEST 2025","failed","Thu Aug 07 17:32:27 AEST 2025","","group_message_gif.spec.ts","",""
"","132453","Create group and change name syncs @android @high-risk @4-devices","","Thu Aug 07 17:45:25 AEST 2025","passed","Thu Aug 07 17:47:38 AEST 2025","","linked_device_create_group.spec.ts","",""
"Verifies that a GIF disappears as expected in a group conversation","63707","Disappearing GIF to group @android @low-risk @3-devices","Disappearing Messages","Thu Aug 07 17:18:58 AEST 2025","failed","Thu Aug 07 17:20:02 AEST 2025","","Message Types","",""
"Verifies that a long message can be sent to a group","45157","Send long message to group @android @low-risk @3-devices","","Thu Aug 07 17:34:08 AEST 2025","passed","Thu Aug 07 17:34:53 AEST 2025","","group_message_long_text.spec.ts","",""
"","58788","Send video to group @android @medium-risk @3-devices","","Thu Aug 07 17:35:33 AEST 2025","passed","Thu Aug 07 17:36:32 AEST 2025","","group_message_video.spec.ts","",""
"Verifies Note to Self can be hidden and then unhidden/shown again in the conversation settings","46678","Hide note to self @android @low-risk @1-devices","User Actions","Thu Aug 07 16:55:45 AEST 2025","passed","Thu Aug 07 16:56:31 AEST 2025","","Hide Note to Self","",""
"","9556","Onboarding wrong seed @android @low-risk @1-devices","","Thu Aug 07 16:53:50 AEST 2025","passed","Thu Aug 07 16:54:00 AEST 2025","","input_validations/onboarding_wrong_seed.spec.ts","",""
"","33752","Change group description @android @medium-risk @3-devices","Groups","Thu Aug 07 17:38:33 AEST 2025","passed","Thu Aug 07 17:39:06 AEST 2025","","Edit Group","",""
"Verifies voice call functionality and permission flow:
    - Verifies strings of all call permission prompts (microphone, notifications, etc.)
    - Verifies missed call notifications when recipient lacks permissions
    - Confirms successful call connection once both users enable permissions
    - Verifies control messages after call is finished
    Note that due to the nature of virtual devices, no actual ""talking"" takes place","57820","Voice calls @android @high-risk @2-devices","Voice Calls","Thu Aug 07 17:13:53 AEST 2025","passed","Thu Aug 07 17:14:51 AEST 2025","","voice_calls.spec.ts","",""
"","69544","Block message request in conversation @android @high-risk @3-devices","","Thu Aug 07 17:56:14 AEST 2025","failed","Thu Aug 07 17:57:23 AEST 2025","","message_requests_block.spec.ts","",""
"","42795","Delete contact from conversation settings @android @high-risk @3-devices","User Actions","Thu Aug 07 17:59:34 AEST 2025","passed","Thu Aug 07 18:00:17 AEST 2025","","Delete Contact","",""
"Verifies that the profile picture can be changed and the new picture is displayed correctly.","24548","Change profile picture @android @medium-risk @1-devices","User Actions","Thu Aug 07 16:55:20 AEST 2025","passed","Thu Aug 07 16:55:45 AEST 2025","","Change Profile Picture","",""
"Verifies that a blocked user syncs to a linked device","37824","Block user linked device @android @high-risk @3-devices","User Actions","Thu Aug 07 17:44:47 AEST 2025","passed","Thu Aug 07 17:45:25 AEST 2025","","Block/Unblock","",""
"","49188","Send document 1:1 @android @high-risk @2-devices","","Thu Aug 07 17:06:27 AEST 2025","passed","Thu Aug 07 17:07:16 AEST 2025","","message_document.spec.ts","",""
"Verifies that an image disappears as expected in a 1:1 conversation","72383","Disappearing image message 1:1 @android @low-risk @2-devices","Disappearing Messages","Thu Aug 07 17:00:41 AEST 2025","passed","Thu Aug 07 17:01:54 AEST 2025","","Message Types","",""
"","35660","Accept message request with text @android @high-risk @2-devices","","Thu Aug 07 17:08:22 AEST 2025","passed","Thu Aug 07 17:08:57 AEST 2025","","message_requests_accept_text_reply.spec.ts","",""
"","24544","Create group banner @android @high-risk @2-devices","","Thu Aug 07 17:03:44 AEST 2025","passed","Thu Aug 07 17:04:09 AEST 2025","","group_tests_create_group_banner.spec.ts","",""
"Verifies that Disappearing Messages can be set in Note to Self, and that a message disappears after the specified expiry time.","78643","Disappear after send note to self @android @medium-risk @1-devices","Disappearing Messages","Thu Aug 07 16:53:06 AEST 2025","passed","Thu Aug 07 16:54:25 AEST 2025","","Conversation Types","",""
"","9280","Onboarding no seed @android @low-risk @1-devices","","Thu Aug 07 16:53:47 AEST 2025","passed","Thu Aug 07 16:53:56 AEST 2025","","input_validations/onboarding_no_seed.spec.ts","",""
"Verifies that a link preview disappears as expected in a group conversation","72692","Disappearing link to group @android @low-risk @3-devices","Disappearing Messages","Thu Aug 07 17:21:14 AEST 2025","passed","Thu Aug 07 17:22:27 AEST 2025","","Message Types","",""
"","37176","Leave group @android @high-risk @3-devices","","Thu Aug 07 17:43:27 AEST 2025","passed","Thu Aug 07 17:44:04 AEST 2025","","group_tests_leave_group.spec.ts","",""
"Verifies that ONS resolution works","24776","ONS resolution @android @high-risk @1-devices","New Conversation","Thu Aug 07 16:55:32 AEST 2025","failed","Thu Aug 07 16:55:56 AEST 2025","","New Message","",""
"","40996","Send voice message 1:1 @android @high-risk @2-devices","","Thu Aug 07 17:09:49 AEST 2025","passed","Thu Aug 07 17:10:30 AEST 2025","","message_voice.spec.ts","",""
