"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that the in-app review prompt shows after the user sets a different theme","18667","Review prompt Appearance trigger @android @high-risk @1-devices","In-App Review Prompt","Thu Sep 11 11:06:05 AEST 2025","passed","Thu Sep 11 11:06:23 AEST 2025","","Triggers","",""
"Verifies that an emoji reaction can be sent and is received in a group.","39219","Send emoji react groups @android @high-risk @3-devices","Sending Messages","Thu Sep 11 11:50:05 AEST 2025","passed","Thu Sep 11 11:50:44 AEST 2025","","Emoji reacts","",""
"Verifies that a GIF disappears as expected in a 1:1 conversation","116062","Disappearing GIF message 1:1 @android @low-risk @2-devices","Disappearing Messages","Thu Sep 11 11:11:06 AEST 2025","passed","Thu Sep 11 11:13:02 AEST 2025","","Message Types","",""
"Verifies the alternate icons on the App Disguise page look as expected","31494","App disguise icons @android @medium-risk @1-devices","Settings","Thu Sep 11 11:04:08 AEST 2025","passed","Thu Sep 11 11:04:39 AEST 2025","","App Disguise","",""
"","38574","Leave group @android @high-risk @3-devices","","Thu Sep 11 11:56:21 AEST 2025","passed","Thu Sep 11 11:56:59 AEST 2025","","group_tests_leave_group.spec.ts","",""
"","23416","Invite a friend @android @medium-risk @1-devices","","Thu Sep 11 11:04:57 AEST 2025","passed","Thu Sep 11 11:05:20 AEST 2025","","invite_a_friend_share.spec.ts","",""
"","33831","Change group name @android @medium-risk @3-devices","","Thu Sep 11 11:52:37 AEST 2025","passed","Thu Sep 11 11:53:11 AEST 2025","","group_tests_change_group_name.spec.ts","",""
"Verifies that a link preview disappears as expected in a group conversation","79941","Disappearing link to group @android @low-risk @3-devices","Disappearing Messages","Thu Sep 11 11:34:43 AEST 2025","passed","Thu Sep 11 11:36:03 AEST 2025","","Message Types","",""
"","88724","Block message request in conversation @android @high-risk @3-devices","","Thu Sep 11 12:08:20 AEST 2025","passed","Thu Sep 11 12:09:48 AEST 2025","","message_requests_block.spec.ts","",""
"","127743","Leave group linked device @android @high-risk @4-devices","","Thu Sep 11 12:05:12 AEST 2025","passed","Thu Sep 11 12:07:20 AEST 2025","","linked_group_leave.spec.ts","",""
"","41954","Delete message request in list @android @high-risk @2-devices","","Thu Sep 11 11:22:29 AEST 2025","passed","Thu Sep 11 11:23:11 AEST 2025","","message_requests_delete.spec.ts","",""
"","41423","Delete conversation from conversation settings @android @high-risk @3-devices","User Actions","Thu Sep 11 12:12:49 AEST 2025","passed","Thu Sep 11 12:13:30 AEST 2025","","Delete Conversation","",""
"Verifies that a group member can be kicked from a group and that the kicked member is removed from the group.","39329","Kick member @android @medium-risk @3-devices","Groups","Thu Sep 11 11:55:42 AEST 2025","passed","Thu Sep 11 11:56:21 AEST 2025","","Edit Group","",""
"","37233","Unsend message @android @high-risk @2-devices","","Thu Sep 11 11:23:11 AEST 2025","passed","Thu Sep 11 11:23:48 AEST 2025","","message_unsend.spec.ts","",""
"","45272","Delete contact from conversation settings @android @high-risk @3-devices","User Actions","Thu Sep 11 12:12:04 AEST 2025","passed","Thu Sep 11 12:12:49 AEST 2025","","Delete Contact","",""
"","38384","Delete message locally @android @high-risk @2-devices","","Thu Sep 11 11:18:04 AEST 2025","passed","Thu Sep 11 11:18:42 AEST 2025","","message_deletion.spec.ts","",""
