"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that an image disappears as expected in a group conversation","69578","Disappearing image message to group @android @low-risk @3-devices","Disappearing Messages","Thu Jan 29 23:57:53 AEDT 2026","passed","Thu Jan 29 23:59:02 AEDT 2026","","Message Types","",""
"Verifies that a call control message disappears as expected in a 1:1 conversation","57104","Disappearing call message 1:1 @android @low-risk @2-devices","Disappearing Messages","Thu Jan 29 23:28:01 AEDT 2026","failed","Thu Jan 29 23:28:58 AEDT 2026","","Message Types","",""
"Verifies that the latest release banner is no longer present on the Create Group screen","26454","Create group banner @android @high-risk @2-devices","Groups","Thu Jan 29 23:34:26 AEDT 2026","passed","Thu Jan 29 23:34:52 AEDT 2026","","Create Group","",""
"","33064","Send link 1:1 @android @high-risk @2-devices","","Thu Jan 29 23:39:27 AEDT 2026","passed","Thu Jan 29 23:40:00 AEDT 2026","","message_link_preview.spec.ts","",""
"","49751","Send image 1:1 @android @high-risk @2-devices","","Thu Jan 29 23:38:55 AEDT 2026","passed","Thu Jan 29 23:39:45 AEDT 2026","","message_image.spec.ts","",""
"Verifies that the Settings page screen layout matches the expected baseline","17460","Check Settings page layout @android @high-risk @1-devices","Visual Checks","Thu Jan 29 23:15:51 AEDT 2026","failed","Thu Jan 29 23:16:09 AEDT 2026","","Settings","",""
"Verifies that inviting a non-contact Account ID (without chat history) works as expected.","66145","Invite Account ID to group @android @high-risk @4-devices","Groups","Fri Jan 30 00:15:04 AEDT 2026","passed","Fri Jan 30 00:16:11 AEDT 2026","","Edit Group","",""
"Verifies that Disappearing Messages can be set in Note to Self, and that a message disappears after the specified expiry time.","48432","Disappear after send note to self @android @medium-risk @1-devices","Disappearing Messages","Thu Jan 29 23:12:40 AEDT 2026","failed","Thu Jan 29 23:13:29 AEDT 2026","","Conversation Types","",""
"Verifies that a user can be blocked from the home screen long press menu","45425","Block user in conversation list @android @high-risk @2-devices","User Actions","Thu Jan 29 23:42:46 AEDT 2026","passed","Thu Jan 29 23:43:32 AEDT 2026","","Block/Unblock","",""
"Verifies that a long message can be sent to a group","87443","Send long message to group @android @low-risk @3-devices","Sending Messages","Fri Jan 30 00:10:34 AEDT 2026","failed","Fri Jan 30 00:12:02 AEDT 2026","","Message types","",""
"Verifies that a group member can be kicked from a group and that the kicked member is removed from the group.","52174","Kick member @android @medium-risk @3-devices","Groups","Fri Jan 30 00:32:17 AEDT 2026","failed","Fri Jan 30 00:33:09 AEDT 2026","","Edit Group","",""
"","17650","Onboarding terms of service @android @high-risk @1-devices","","Thu Jan 29 23:13:31 AEDT 2026","passed","Thu Jan 29 23:13:49 AEDT 2026","","onboarding_tos.spec.ts","",""
"","15559","Warning modal on new account @android @medium-risk @1-devices","","Thu Jan 29 23:16:11 AEDT 2026","passed","Thu Jan 29 23:16:26 AEDT 2026","","warning_modal_new_account.spec.ts","",""
"Verifies the slow mode background permissions modal appears, accepting it shows the system dialog.","17386","Slow mode background perms modal @android @medium-risk @1-devices","Settings","Thu Jan 29 23:14:33 AEDT 2026","passed","Thu Jan 29 23:14:50 AEDT 2026","","Notifications","",""
"Verifies that an image disappears as expected in a 1:1 conversation","72759","Disappearing image message 1:1 @android @low-risk @2-devices","Disappearing Messages","Thu Jan 29 23:30:49 AEDT 2026","passed","Thu Jan 29 23:32:02 AEDT 2026","","Message Types","",""
"Verifies message length behavior at 2000 characters - countdown shows 0, message sends","25593","Message length limit (2000 chars) @android @high-risk @1-devices","Sending Messages","Thu Jan 29 23:12:12 AEDT 2026","passed","Thu Jan 29 23:12:37 AEDT 2026","","Rules","",""
"Verifies message length behavior at 2001 characters - countdown shows -1, cannot send message","34709","Message length limit (2001 chars) @android @high-risk @1-devices","Sending Messages","Thu Jan 29 23:13:36 AEDT 2026","failed","Thu Jan 29 23:14:11 AEDT 2026","","Rules","",""
"Verifies that the Appearance settings screen layout matches the expected baseline","19633","Check Appearance settings layout @android @high-risk @1-devices","Visual Checks","Thu Jan 29 23:15:51 AEDT 2026","passed","Thu Jan 29 23:16:10 AEDT 2026","","Settings","",""
"Verifies that a too long seed phrase throws the 'check your recovery password' error as expected.","9876","Onboarding wrong seed @android @low-risk @1-devices","Onboarding","Thu Jan 29 23:11:47 AEDT 2026","passed","Thu Jan 29 23:11:56 AEDT 2026","","Input validations","",""
"Verifies that a group member can be kicked from a group and that the kicked member is removed from the group (with their messages deleted).","60155","Kick and remove messages @android @medium-risk @3-devices","Groups","Fri Jan 30 00:29:29 AEDT 2026","failed","Fri Jan 30 00:30:29 AEDT 2026","","Edit Group","",""
"Verifies that global deletion in a group deletes a message for every participant.","35381","Delete message for all in group @android @high-risk @3-devices","User Actions","Fri Jan 30 00:12:04 AEDT 2026","passed","Fri Jan 30 00:12:39 AEDT 2026","","Delete Message","",""
"Verifies that Hide Note To Self syncs to a linked device.","46371","Hide note to self linked device @android @low-risk @2-devices","User Actions","Thu Jan 29 23:35:24 AEDT 2026","passed","Thu Jan 29 23:36:10 AEDT 2026","","Hide Note to Self","",""
"Verifies that a group (and its messages) created on one device appears when restoring on a second device.","112442","Restore group @android @high-risk @4-devices","Groups","Fri Jan 30 00:49:03 AEDT 2026","passed","Fri Jan 30 00:50:55 AEDT 2026","","Create Group","",""
"Verifies that the landing page for a new account matches the expected baseline","20947","Check landing page (new account) layout @android @low-risk @1-devices","Visual Checks","Thu Jan 29 23:11:49 AEDT 2026","passed","Thu Jan 29 23:12:10 AEDT 2026","","Onboarding","",""
"","41043","Message requests clear all @android @medium-risk @2-devices","","Thu Jan 29 23:40:32 AEDT 2026","passed","Thu Jan 29 23:41:13 AEDT 2026","","message_requests_clear_all.spec.ts","",""
"","32596","Delete message locally @android @high-risk @2-devices","","Thu Jan 29 23:37:02 AEDT 2026","passed","Thu Jan 29 23:37:35 AEDT 2026","","message_deletion.spec.ts","",""
"Verifies that a seed phrase with a word not on the mnemonic list throws the 'some words are incorrect' error as expected.","10883","Onboarding incorrect seed @android @low-risk @1-devices","Onboarding","Thu Jan 29 23:11:26 AEDT 2026","passed","Thu Jan 29 23:11:37 AEDT 2026","","Input validations","",""
"Verifies that the Conversations settings screen layout matches the expected baseline","18897","Check Conversations settings layout @android @high-risk @1-devices","Visual Checks","Thu Jan 29 23:15:32 AEDT 2026","passed","Thu Jan 29 23:15:51 AEDT 2026","","Settings","",""
"","52622","Send community invitation @android @medium-risk @2-devices","","Thu Jan 29 23:38:03 AEDT 2026","passed","Thu Jan 29 23:38:55 AEDT 2026","","message_community_invitation.spec.ts","",""
"Verifies that an image can be sent and received in a community","56455","Send image to community @android @medium-risk @2-devices","Sending Messages","Thu Jan 29 23:23:10 AEDT 2026","passed","Thu Jan 29 23:24:07 AEDT 2026","","Message types","",""
"","40950","Delete message request in list @android @high-risk @2-devices","","Thu Jan 29 23:41:01 AEDT 2026","passed","Thu Jan 29 23:41:42 AEDT 2026","","message_requests_delete.spec.ts","",""
"Verifies that a blocked user syncs to a linked device","61701","Block user linked device @android @high-risk @3-devices","User Actions","Fri Jan 30 00:40:00 AEDT 2026","failed","Fri Jan 30 00:41:02 AEDT 2026","","Block/Unblock","",""
"","45788","Delete contact from conversation settings @android @high-risk @3-devices","User Actions","Fri Jan 30 01:03:23 AEDT 2026","passed","Fri Jan 30 01:04:09 AEDT 2026","","Delete Contact","",""
"Verifies that the Network Page refreshes and updates the ""Last updated"" timestamp correctly.","114378","Network page refresh @android @low-risk @1-devices","Network Page","Thu Jan 29 23:16:52 AEDT 2026","failed","Thu Jan 29 23:18:46 AEDT 2026","","network_page_refresh_page.spec.ts","",""
"","52381","Read status @android @medium-risk @2-devices","","Thu Jan 29 23:43:50 AEDT 2026","passed","Thu Jan 29 23:44:43 AEDT 2026","","user_actions_read_status.spec.ts","",""
"Verifies that a group name change syncs to every member.","47909","Change group name @android @medium-risk @3-devices","Groups","Fri Jan 30 00:23:31 AEDT 2026","failed","Fri Jan 30 00:24:19 AEDT 2026","","Edit Group","",""
"Verifies that the in-app review prompt shows after the user sets a different theme","17553","Review prompt Appearance trigger @android @high-risk @1-devices","In-App Review Prompt","Thu Jan 29 23:14:30 AEDT 2026","passed","Thu Jan 29 23:14:47 AEDT 2026","","Triggers","",""
"Verifies voice call functionality and permission flow:
    - Verifies strings of all call permission prompts (microphone, notifications, etc.)
    - Verifies missed call notifications when recipient lacks permissions
    - Confirms successful call connection once both users enable permissions
    - Verifies control messages after call is finished
    Note that due to the nature of virtual devices, no actual ""talking"" takes place","96169","Voice calls @android @high-risk @2-devices","Voice Calls","Thu Jan 29 23:48:48 AEDT 2026","failed","Thu Jan 29 23:50:24 AEDT 2026","","voice_calls.spec.ts","",""
"Verifies that joining a community works and the conversation syncs to a linked device","45929","Join community test @android @high-risk @2-devices","New Conversation","Thu Jan 29 23:24:07 AEDT 2026","passed","Thu Jan 29 23:24:53 AEDT 2026","","Join Community","",""
"Verifies that an empty display name throws the 'please enter a display name' error as expected.","9641","Onboarding no name @android @low-risk @1-devices","Onboarding","Thu Jan 29 23:11:37 AEDT 2026","passed","Thu Jan 29 23:11:47 AEDT 2026","","Input validations","",""
"Verifies the alternate icons on the App Disguise page look as expected","32683","Check app disguise icon layout @android @medium-risk @1-devices","Settings","Thu Jan 29 23:10:49 AEDT 2026","passed","Thu Jan 29 23:11:21 AEDT 2026","","App Disguise","",""
