"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38723","Hide recovery password @android @medium-risk @2-devices","","2026-02-04","passed","2026-02-04","","user_actions_hide_recovery_password.spec.ts","",""
"","13930","Onboarding privacy policy @android @high-risk @1-devices","","2026-02-04","passed","2026-02-04","","onboarding_pp.spec.ts","",""
"Verifies that the Settings donation link is correct and that the HTTP request is successful (200)","25804","Donate Settings menu item @android @high-risk @1-devices","Donations","2026-02-04","passed","2026-02-04","","donate.spec.ts","",""
"Verifies that an image can be sent to a group, all members receive the document, and replying to a document works as expected","55035","Send image to group @android @high-risk @3-devices","Sending Messages","2026-02-04","passed","2026-02-04","","Message types","",""
"Verifies that Hide Note To Self syncs to a linked device.","47984","Hide note to self linked device @android @low-risk @2-devices","User Actions","2026-02-04","passed","2026-02-04","","Hide Note to Self","",""
"Verifies message length behavior at 1799 characters - no countdown shows, message sends","27178","Message length limit (1799 chars) @android @high-risk @1-devices","Sending Messages","2026-02-04","passed","2026-02-04","","Rules","",""
"Verifies that the Conversations settings screen layout matches the expected baseline","20852","Check Conversations settings layout @android @high-risk @1-devices","Visual Checks","2026-02-04","passed","2026-02-04","","Settings","",""
"Verifies that an emoji reaction can be sent and is received in a 1-1 conversation.","34741","Send emoji react 1:1 @android @high-risk @2-devices","Sending Messages","2026-02-04","passed","2026-02-04","","Emoji reacts","",""
"Verifies that the ""Learn More"" link on the Network Page opens the correct URL in the device browser.","25002","Network page learn more network link @android @medium-risk @1-devices","Network Page","2026-02-04","passed","2026-02-04","","network_page_link_network.spec.ts","",""
"Verifies that a non-admin member can leave a group successfully via the UI","39679","Leave group @android @high-risk @3-devices","Groups","2026-02-04","passed","2026-02-04","","Leave/Delete Group","",""
"Verifies that an image can be sent and received in a community","56434","Send image to community @android @medium-risk @2-devices","Sending Messages","2026-02-04","passed","2026-02-04","","Message types","",""
"","45130","Delete contact from conversation settings @android @high-risk @3-devices","User Actions","2026-02-04","passed","2026-02-04","","Delete Contact","",""
"Verifies that a group (and its messages) created on one device appears when restoring on a second device.","111505","Restore group @android @high-risk @4-devices","Groups","2026-02-04","passed","2026-02-04","","Create Group","",""
"","50749","Read status @android @medium-risk @2-devices","","2026-02-04","passed","2026-02-04","","user_actions_read_status.spec.ts","",""
"Verifies the in-app review modal texts and buttons for the negative flow (Enjoying Session - Give Feedback - Open URL)","23737","Review prompt negative flow @android @high-risk @1-devices","In-App Review Prompt","2026-02-04","passed","2026-02-04","","Flows","",""
"Verifies that a video can be sent to a group, all members receive the document, and replying to a document works as expected","65257","Send video to group @android @medium-risk @3-devices","Sending Messages","2026-02-04","passed","2026-02-04","","Message types","",""
"","48869","Send image 1:1 @android @high-risk @2-devices","","2026-02-04","passed","2026-02-04","","message_image.spec.ts","",""
"Verifies that when a message is deleted on one device, it shows as deleted on a linked device too.","35533","Delete message linked device @android @high-risk @3-devices","User Actions","2026-02-04","passed","2026-02-04","","Delete Message","",""
"Verifies that joining a community works and the conversation syncs to a linked device","42719","Join community test @android @high-risk @2-devices","New Conversation","2026-02-04","passed","2026-02-04","","Join Community","",""
"Verifies that a message request can be sent when Community Message Requests are on.","70727","Community message requests on @android @medium-risk @2-devices","Settings","2026-02-04","passed","2026-02-04","","Community Message Requests","",""
"Verifies that a PDF can be sent to a group, all members receive the document, and replying to a document works as expected","61381","Send document to group @android @high-risk @3-devices","Sending Messages","2026-02-04","passed","2026-02-04","","Message types","",""
"Verifies the alternate icons on the App Disguise page look as expected","31948","Check app disguise icon layout @android @medium-risk @1-devices","Settings","2026-02-04","passed","2026-02-04","","App Disguise","",""
"Verifies that the Privacy settings screen layout matches the expected baseline","18993","Check Privacy settings layout @android @high-risk @1-devices","Visual Checks","2026-02-04","passed","2026-02-04","","Settings","",""
"","40362","Delete conversation from conversation settings @android @high-risk @3-devices","User Actions","2026-02-04","passed","2026-02-04","","Delete Conversation","",""
"Verifies that a voice message can be sent to a group, all members receive the document, and replying to a document works as expected","51895","Send voice message to group @android @high-risk @3-devices","Sending Messages","2026-02-04","passed","2026-02-04","","Message types","",""
"","63624","Create contact @android @high-risk @3-devices","","2026-02-04","passed","2026-02-04","","user_actions_create_contact.spec.ts","",""
"Verifies that an empty display name throws the 'please enter a display name' error as expected.","9700","Onboarding no name @android @low-risk @1-devices","Onboarding","2026-02-04","passed","2026-02-04","","Input validations","",""
"Verifies that the Donate CTA is shown after dismissing the positive review prompt; verifies modal strings and screenshot; and that the Donate button shows the correct Open URL modal.","37241","Donate CTA shows after positive review @android @high-risk @1-devices","Donations","2026-02-04","passed","2026-02-04","","cta_donate_review.spec.ts","",""
"","19417","Create user @android @high-risk @1-devices","","2026-02-04","passed","2026-02-04","","user_actions_create_user.spec.ts","",""
"Verifies the in-app review modal texts and buttons for the positive flow (Enjoying Session - Rate App)","18498","Review prompt positive flow @android @high-risk @1-devices","In-App Review Prompt","2026-02-04","passed","2026-02-04","","Flows","",""
"Verifies that 'Delete for everyone' in a 1-1 deletes the message in the conversation view and on the home screen for both parties and a linked device.","44381","Unsent message syncs @android @medium-risk @3-devices","User Actions","2026-02-04","passed","2026-02-04","","Delete Message","",""
"Verifies that Disappearing Messages can be set in a group conversation, and that a message disappears after the specified expiry time.","66399","Disappear after send groups @android @high-risk @3-devices","Disappearing Messages","2026-02-04","passed","2026-02-04","","Conversation Types","",""
"Verifies that local deletion in a group does not delete a message for other participants.","33608","Delete message locally in group @android @high-risk @3-devices","User Actions","2026-02-04","passed","2026-02-04","","Delete Message","",""
"Verifies that a community invite disappears as expected in a 1:1 conversation","115882","Disappearing community invite message 1:1 @android @low-risk @2-devices","Disappearing Messages","2026-02-04","passed","2026-02-04","","Message Types","",""
"","34594","Delete message locally @android @high-risk @2-devices","","2026-02-04","passed","2026-02-04","","message_deletion.spec.ts","",""
"","35268","Unsend message @android @high-risk @2-devices","","2026-02-04","passed","2026-02-04","","message_unsend.spec.ts","",""
"Verifies that a GIF disappears as expected in a group conversation","108912","Disappearing GIF to group @android @low-risk @3-devices","Disappearing Messages","2026-02-04","passed","2026-02-04","","Message Types","",""
"","65251","Accept message request @android @high-risk @3-devices","","2026-02-04","passed","2026-02-04","","message_requests_accept.spec.ts","",""
"Verifies that 'Disappear After Read' can be set in a 1:1 conversation, and that a message disappears after the specified expiry time.","70672","Disappear after read @android @high-risk @2-devices","Disappearing Messages","2026-02-04","passed","2026-02-04","","Conversation Types","",""
"","13816","Warning modal on new account @android @medium-risk @1-devices","","2026-02-04","passed","2026-02-04","","warning_modal_new_account.spec.ts","",""
"","86226","Block message request in conversation @android @high-risk @3-devices","","2026-02-04","passed","2026-02-04","","message_requests_block.spec.ts","",""
"Verifies that a group created on one device appears on a linked device, and that a group name change syncs to all members.","133286","Create group and change name syncs @android @high-risk @4-devices","Groups","2026-02-04","passed","2026-02-04","","Create Group","",""
"Verifies that the profile picture change on one device is reflected on a linked device.","31953","Change profile picture linked device @android @medium-risk @2-devices","User Actions","2026-02-04","passed","2026-02-04","","Change Profile Picture","",""
"Verifies that a user can share an image from the photo gallery to Session","42724","Share to session @android @medium-risk @2-devices","User Actions","2026-02-04","passed","2026-02-04","","Share to Session","",""
"Verifies that a user's placeholder avatar color appears the same to a contact","23730","Check placeholder avatar color @android @medium-risk @2-devices","Visual Checks","2026-02-04","passed","2026-02-04","","Settings","",""
