"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22387","Landing page new account @ios @low-risk @1-devices","","Mon Jul 21 10:55:10 AEST 2025","passed","Mon Jul 21 10:55:32 AEST 2025","","landing_page_new_account.spec.ts","",""
"","11686","Onboarding incorrect seed @ios @low-risk @1-devices","","Mon Jul 21 10:54:26 AEST 2025","passed","Mon Jul 21 10:54:38 AEST 2025","","input_validations/onboarding_incorrect_seed.spec.ts","",""
"","211728","Disappearing video message 1:1 @ios @low-risk @2-devices","","Mon Jul 21 10:48:31 AEST 2025","passed","Mon Jul 21 10:52:03 AEST 2025","","disappearing_video.spec.ts","",""
"","111380","Share to session @ios @low-risk @2-devices","","Mon Jul 21 10:57:41 AEST 2025","passed","Mon Jul 21 10:59:32 AEST 2025","","user_actions_share_to_session.spec.ts","",""
"","45097","Hide note to self @ios @low-risk @1-devices","User Actions","Mon Jul 21 10:57:13 AEST 2025","passed","Mon Jul 21 10:57:58 AEST 2025","","Hide Note to Self","",""
"","102523","Disappearing link to group @ios @low-risk @3-devices","","Mon Jul 21 10:51:56 AEST 2025","passed","Mon Jul 21 10:53:39 AEST 2025","","group_disappearing_messages_link.spec.ts","",""
"","76594","Send long message 1:1 @ios @low-risk @2-devices","","Mon Jul 21 10:56:24 AEST 2025","passed","Mon Jul 21 10:57:41 AEST 2025","","message_long_text.spec.ts","",""
"","9924","Onboarding no name @ios @low-risk @1-devices","","Mon Jul 21 10:54:49 AEST 2025","passed","Mon Jul 21 10:54:59 AEST 2025","","input_validations/onboarding_no_name.spec.ts","",""
"","2","Disappearing call message 1o1 @ios @low-risk @2-devices","","Mon Jul 21 10:45:27 AEST 2025","skipped","Mon Jul 21 10:45:27 AEST 2025","","disappearing_call.spec.ts","",""
"","31899","Refresh network page @ios @low-risk @1-devices","","Mon Jul 21 10:56:41 AEST 2025","passed","Mon Jul 21 10:57:13 AEST 2025","","network_page_refresh_page.spec.ts","",""
"","268981","Disappearing voice message to group @ios @low-risk @3-devices","","Mon Jul 21 10:53:29 AEST 2025","passed","Mon Jul 21 10:57:58 AEST 2025","","group_disappearing_messages_voice.spec.ts","",""
"","32096","Landing page restore account @ios @low-risk @2-devices","","Mon Jul 21 10:55:18 AEST 2025","failed","Mon Jul 21 10:55:50 AEST 2025","","landing_page_restore_account.spec.ts","",""
"","30314","Disappearing voice message 1:1 @ios @low-risk @2-devices","","Mon Jul 21 10:49:02 AEST 2025","failed","Mon Jul 21 10:49:32 AEST 2025","","disappearing_voice.spec.ts","",""
"","10786","Onboarding no seed @ios @low-risk @1-devices","","Mon Jul 21 10:54:59 AEST 2025","passed","Mon Jul 21 10:55:10 AEST 2025","","input_validations/onboarding_no_seed.spec.ts","",""
"","214238","Disappearing community invite message 1:1 @ios @low-risk @2-devices","","Mon Jul 21 10:45:28 AEST 2025","passed","Mon Jul 21 10:49:02 AEST 2025","","disappearing_community_invite.spec.ts","",""
"","50613","Hide note to self linked device @ios @low-risk @2-devices","User Actions","Mon Jul 21 10:55:32 AEST 2025","failed","Mon Jul 21 10:56:23 AEST 2025","","Hide Note to Self","",""
"","111020","Disappearing GIF message 1:1 @ios @low-risk @2-devices","","Mon Jul 21 10:45:28 AEST 2025","failed","Mon Jul 21 10:47:19 AEST 2025","","disappearing_gif.spec.ts","",""
"","87481","Send long message to group @ios @low-risk @3-devices","","Mon Jul 21 10:53:39 AEST 2025","passed","Mon Jul 21 10:55:06 AEST 2025","","group_message_long_text.spec.ts","",""
"","11177","Onboarding long name @ios @low-risk @1-devices","","Mon Jul 21 10:54:38 AEST 2025","passed","Mon Jul 21 10:54:49 AEST 2025","","input_validations/onboarding_long_name.spec.ts","",""
"","70554","Disappearing link message 1:1 @ios @low-risk @2-devices","","Mon Jul 21 10:47:20 AEST 2025","failed","Mon Jul 21 10:48:30 AEST 2025","","disappearing_link.spec.ts","",""
"","116386","Disappearing GIF to group @ios @low-risk @3-devices","","Mon Jul 21 10:49:33 AEST 2025","passed","Mon Jul 21 10:51:30 AEST 2025","","group_disappearing_messages_gif.spec.ts","",""
"","11381","Onboarding wrong seed @ios @low-risk @1-devices","","Mon Jul 21 10:55:06 AEST 2025","passed","Mon Jul 21 10:55:18 AEST 2025","","input_validations/onboarding_wrong_seed.spec.ts","",""
"","25563","Disappearing image message to group @ios @low-risk @3-devices","","Mon Jul 21 10:51:30 AEST 2025","failed","Mon Jul 21 10:51:55 AEST 2025","","group_disappearing_messages_image.spec.ts","",""
"","143524","Disappearing video to group @ios @low-risk @3-devices","","Mon Jul 21 10:52:03 AEST 2025","passed","Mon Jul 21 10:54:26 AEST 2025","","group_disappearing_messages_video.spec.ts","",""
"","50265","Check performance @ios @low-risk @2-devices","","Mon Jul 21 10:55:51 AEST 2025","passed","Mon Jul 21 10:56:41 AEST 2025","","message_check_performance.spec.ts","",""
"","49639","Unblock user @ios @low-risk @2-devices","","Mon Jul 21 10:57:58 AEST 2025","passed","Mon Jul 21 10:58:48 AEST 2025","","user_actions_unblock_user.spec.ts","",""
"","480002","Disappearing image message 1:1 @ios @low-risk @2-devices","","Mon Jul 21 10:45:28 AEST 2025","broken","Mon Jul 21 10:53:28 AEST 2025","","disappearing_image.spec.ts","",""
