"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12590","Onboarding incorrect seed @ios @low-risk @1-devices","","Mon Oct 13 12:01:42 AEDT 2025","passed","Mon Oct 13 12:01:55 AEDT 2025","","input_validations/onboarding_incorrect_seed.spec.ts","",""
"","54246","Send link to group @ios @high-risk @3-devices","","Mon Oct 13 11:56:35 AEDT 2025","passed","Mon Oct 13 11:57:30 AEDT 2025","","group_message_link_preview.spec.ts","",""
"Verifies that joining a community works and the conversation syncs to a linked device","43953","Join community test @ios @high-risk @2-devices","New Conversation","Mon Oct 13 11:44:40 AEDT 2025","passed","Mon Oct 13 11:45:24 AEDT 2025","","Join Community","",""
"","42185","Read status @ios @medium-risk @2-devices","","Mon Oct 13 12:16:31 AEDT 2025","passed","Mon Oct 13 12:17:13 AEDT 2025","","user_actions_read_status.spec.ts","",""
"","93797","Add contact to group @ios @high-risk @4-devices","","Mon Oct 13 11:58:57 AEDT 2025","passed","Mon Oct 13 12:00:31 AEDT 2025","","group_tests_add_contact.spec.ts","",""
"Verifies that a user can share an image from the photo gallery to Session","58758","Share to session @ios @medium-risk @2-devices","User Actions","Mon Oct 13 12:16:43 AEDT 2025","passed","Mon Oct 13 12:17:42 AEDT 2025","","Share to Session","",""
"","11145","Onboarding no name @ios @low-risk @1-devices","","Mon Oct 13 12:01:47 AEDT 2025","passed","Mon Oct 13 12:01:58 AEDT 2025","","input_validations/onboarding_no_name.spec.ts","",""
"","26811","Change username @ios @medium-risk @1-devices","","Mon Oct 13 12:14:32 AEDT 2025","passed","Mon Oct 13 12:14:59 AEDT 2025","","user_actions_change_username.spec.ts","",""
"Verifies that a voice note disappears as expected in a group conversation","79926","Disappearing voice message to group @ios @low-risk @3-devices","Disappearing Messages","Mon Oct 13 11:54:42 AEDT 2025","passed","Mon Oct 13 11:56:02 AEDT 2025","","Message Types","",""
"","35674","Change username linked device @ios @medium-risk @2-devices","","Mon Oct 13 12:02:47 AEDT 2025","passed","Mon Oct 13 12:03:23 AEDT 2025","","linked_device_change_username.spec.ts","",""
"","59599","Delete message request in conversation @ios @high-risk @3-devices","","Mon Oct 13 12:11:35 AEDT 2025","passed","Mon Oct 13 12:12:35 AEDT 2025","","message_requests_decline.spec.ts","",""
