"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that a username change syncs to a linked device.","105743","Change username linked device @ios @medium-risk @2-devices","User Actions","2026-01-30","failed","2026-01-30","","Change Username","",""
"Verifies the in-app review modal texts and buttons for the positive flow (Enjoying Session - Rate App)","18597","Review prompt positive flow @ios @high-risk @1-devices","In-App Review Prompt","2026-01-30","passed","2026-01-30","","Flows","",""
"Verifies that a user can be unblocked after being blocked","17369","Unblock user @ios @low-risk @2-devices","User Actions","2026-01-30","failed","2026-01-30","","Block/Unblock","",""
"Verifies that the profile picture change on one device is reflected on a linked device.","21204","Change profile picture linked device @ios @medium-risk @2-devices","User Actions","2026-01-30","failed","2026-01-30","","Change Profile Picture","",""
"Verifies that a user's avatar color is consistent across linked devices.","18412","Avatar color linked device @ios @medium-risk @2-devices","Visual Checks","2026-01-30","failed","2026-01-30","","Onboarding","",""
"Create four accounts, create a group with three, add the fourth member","57","Add contact to group @ios @high-risk @4-devices","Groups","2026-01-30","failed","2026-01-30","","Edit Group","",""
"Verifies that a link with preview can be sent to a group, all members receive the document, and replying to a document works as expected","47","Send link to group @ios @high-risk @3-devices","Sending Messages","2026-01-30","failed","2026-01-30","","Message types","",""
"","77189","Block message request in conversation @ios @high-risk @3-devices","","2026-01-30","passed","2026-01-30","","message_requests_block.spec.ts","",""
"Verifies message length behavior at 1800 characters - countdown shows 200, message sends","54956","Message length limit (1800 chars) @ios @high-risk @1-devices","Sending Messages","2026-01-30","passed","2026-01-30","","Rules","",""
"Verifies that a link preview disappears as expected in a group conversation","64","Disappearing link to group @ios @low-risk @3-devices","Disappearing Messages","2026-01-30","failed","2026-01-30","","Message Types","",""
"Verifies that a message request can be sent when Community Message Requests are on.","66548","Community message requests on @ios @medium-risk @2-devices","Settings","2026-01-30","passed","2026-01-30","","Community Message Requests","",""
"Verifies that the in-app review prompt shows after the user presses the Donate button in Settings","17669","Review prompt Donate trigger @ios @high-risk @1-devices","In-App Review Prompt","2026-01-30","passed","2026-01-30","","Triggers","",""
"Verifies that an empty seed phrase throws the 'not long enough' error as expected.","11635","Onboarding no seed @ios @low-risk @1-devices","Onboarding","2026-01-30","passed","2026-01-30","","Input validations","",""
"Verifies that 'Delete for everyone' in a 1-1 deletes the message in the conversation view and on the home screen for both parties and a linked device.","22082","Unsent message syncs @ios @medium-risk @3-devices","User Actions","2026-01-30","failed","2026-01-30","","Delete Message","",""
"Verifies that an empty display name throws the 'please enter a display name' error as expected.","11207","Onboarding no name @ios @low-risk @1-devices","Onboarding","2026-01-30","passed","2026-01-30","","Input validations","",""
"","55423","Create contact @ios @high-risk @3-devices","","2026-01-30","passed","2026-01-30","","user_actions_create_contact.spec.ts","",""
"","16401","Send long message 1:1 @ios @low-risk @2-devices","","2026-01-30","failed","2026-01-30","","message_long_text.spec.ts","",""
"Verifies that a voice note disappears as expected in a group conversation","50","Disappearing voice message to group @ios @low-risk @3-devices","Disappearing Messages","2026-01-30","failed","2026-01-30","","Message Types","",""
"Verifies voice call functionality and permission flow:
    - Verifies strings of all call permission prompts (microphone, notifications, etc.)
    - Verifies missed call notifications when recipient lacks permissions
    - Confirms successful call connection once both users enable permissions
    - Verifies control messages after call is finished
    Note that due to the nature of virtual devices, no actual ""talking"" takes place","16276","Voice calls @ios @high-risk @2-devices","Voice Calls","2026-01-30","failed","2026-01-30","","voice_calls.spec.ts","",""
"Verifies that a too long seed phrase throws the 'check your recovery password' error as expected.","13806","Onboarding wrong seed @ios @low-risk @1-devices","Onboarding","2026-01-30","passed","2026-01-30","","Input validations","",""
"Verifies that a blocked user syncs to a linked device","191871","Block user linked device @ios @high-risk @3-devices","User Actions","2026-01-30","failed","2026-01-30","","Block/Unblock","",""
"Verifies that 'Disappear After Send' works as expected in a 1:1 conversation","17767","Disappear after send @ios @high-risk @2-devices","Disappearing Messages","2026-01-30","failed","2026-01-30","","Conversation Types","",""
"","25296","Change username @ios @medium-risk @1-devices","","2026-01-30","passed","2026-01-30","","user_actions_change_username.spec.ts","",""
"Verifies that a group name change syncs to every member.","49","Change group name @ios @medium-risk @3-devices","Groups","2026-01-30","failed","2026-01-30","","Edit Group","",""
