"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32092","Delete message request in list @ios @high-risk @2-devices","","2026-02-05","passed","2026-02-05","","message_requests_delete.spec.ts","",""
"Verifies the alternate icons on the App Disguise page look as expected","100789","Check app disguise icon layout @ios @medium-risk @1-devices","Settings","2026-02-05","passed","2026-02-05","","App Disguise","",""
"Verifies that turning off Disappearing Messages works as expected in a 1:1 conversation","275350","Disappear after send off 1:1 @ios @high-risk @3-devices","Disappearing Messages","2026-02-05","passed","2026-02-05","","Conversation Types","",""
"Verifies that a call control message disappears as expected in a 1:1 conversation","126943","Disappearing call message 1:1 @ios @low-risk @2-devices","Disappearing Messages","2026-02-05","passed","2026-02-05","","Message Types","",""
"Verifies that a user's avatar color is consistent across linked devices.","26192","Avatar color linked device @ios @medium-risk @2-devices","Visual Checks","2026-02-05","passed","2026-02-05","","Onboarding","",""
"Verifies that only admins can enable Disappearing Messages in a group","47986","Group member disappearing messages @ios @medium-risk @3-devices","Disappearing Messages","2026-02-05","passed","2026-02-05","","Rules","",""
"Verifies that a blocked user syncs to a linked device","56855","Block user linked device @ios @high-risk @3-devices","User Actions","2026-02-05","passed","2026-02-05","","Block/Unblock","",""
"Verifies the in-app review modal texts and buttons for the positive flow (Enjoying Session - Rate App)","18956","Review prompt positive flow @ios @high-risk @1-devices","In-App Review Prompt","2026-02-05","passed","2026-02-05","","Flows","",""
"Verifies that the ""Learn More"" link on the Network Page for Staking opens the correct URL in the device browser.","23029","Network page learn more staking link @ios @medium-risk @1-devices","Network Page","2026-02-05","passed","2026-02-05","","network_page_link_staking.spec.ts","",""
"","38279","Hide recovery password @ios @medium-risk @2-devices","","2026-02-05","passed","2026-02-05","","user_actions_hide_recovery_password.spec.ts","",""
"","72957","Send long message 1:1 @ios @low-risk @2-devices","","2026-02-05","passed","2026-02-05","","message_long_text.spec.ts","",""
"Verifies that the profile picture can be changed and the new picture is displayed correctly.","38675","Change profile picture @ios @medium-risk @1-devices","User Actions","2026-02-05","passed","2026-02-05","","Change Profile Picture","",""
"Verifies the alternate icon set on the App Disguise page is applied","55281","App disguise set icon @ios @medium-risk @1-devices","Settings","2026-02-05","passed","2026-02-05","","App Disguise","",""
"Verifies that an empty seed phrase throws the 'not long enough' error as expected.","11527","Onboarding no seed @ios @low-risk @1-devices","Onboarding","2026-02-05","passed","2026-02-05","","Input validations","",""
"Verifies that a link with preview can be sent to a group, all members receive the document, and replying to a document works as expected","70623","Send link to group @ios @high-risk @3-devices","Sending Messages","2026-02-05","passed","2026-02-05","","Message types","",""
"","40329","Send link 1:1 @ios @high-risk @2-devices","","2026-02-05","passed","2026-02-05","","message_link_preview.spec.ts","",""
"","46273","Send image 1:1 @ios @high-risk @2-devices","","2026-02-05","passed","2026-02-05","","message_image.spec.ts","",""
"Verifies that a group created on one device appears on a linked device, and that a group name change syncs to all members.","158716","Create group and change name syncs @ios @high-risk @4-devices","Groups","2026-02-05","passed","2026-02-05","","Create Group","",""
"Mocks a custom install date 6 days, 23 hours, and 58 minutes ago, opens the app, and verifies that the Donate CTA does not show.","17016","Donate CTA does not show if app installed <7 days ago @ios @high-risk @1-devices","Donations","2026-02-05","passed","2026-02-05","","cta_donate_time.spec.ts","",""
"Verifies that a too long display name (101 bytes) throws the 'shorter display name' error as expected.","12438","Onboarding long name @ios @low-risk @1-devices","Onboarding","2026-02-05","passed","2026-02-05","","Input validations","",""
"Verifies that a seed phrase with a word not on the mnemonic list throws the 'some words are incorrect' error as expected.","12881","Onboarding incorrect seed @ios @low-risk @1-devices","Onboarding","2026-02-05","passed","2026-02-05","","Input validations","",""
"","43644","Send voice message 1:1 @ios @high-risk @2-devices","","2026-02-05","passed","2026-02-05","","message_voice.spec.ts","",""
"Verifies that a community invite disappears as expected in a 1:1 conversation","111795","Disappearing community invite message 1:1 @ios @low-risk @2-devices","Disappearing Messages","2026-02-05","passed","2026-02-05","","Message Types","",""
"Create four accounts, create a group with three, add the fourth member","139384","Add contact to group @ios @high-risk @4-devices","Groups","2026-02-05","passed","2026-02-05","","Edit Group","",""
"Verifies that a user can set a nickname for a contact and that it appears correctly in the conversation settings, conversation header and home screen.","30474","Set nickname @ios @high-risk @2-devices","User Actions","2026-02-05","passed","2026-02-05","","Set Nickname","",""
"Verifies that the in-app review prompt shows after the user sets a different theme","20891","Review prompt Appearance trigger @ios @high-risk @1-devices","In-App Review Prompt","2026-02-05","passed","2026-02-05","","Triggers","",""
