"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Mocks a custom install date 6 days, 23 hours, and 58 minutes ago, opens the app, and verifies that the Donate CTA does not show.","22417","Donate CTA does not show if app installed <7 days ago @ios @high-risk @1-devices","Donations","2026-07-30","passed","2026-07-30","","mobile/cta_donate_time.spec.ts","",""
"Verifies that the in-app review prompt shows after the user visits the Path screen in Settings","16076","Review prompt Path trigger @ios @high-risk @1-devices","In-App Review Prompt","2026-07-30","passed","2026-07-30","","Triggers","",""
"","72580","Delete message locally @ios @high-risk @2-devices","mobile","2026-07-30","failed","2026-07-30","","mobile/message_deletion.spec.ts","",""
"Verifies message length behavior at 1800 characters - countdown shows 200, message sends (non Pro)","42082","Message length limit (1800 chars non Pro) @ios @high-risk @1-devices","Sending Messages","2026-07-30","passed","2026-07-30","","Rules","",""
"Verifies that the Conversations settings screen layout matches the expected baseline","13107","Check Conversations settings layout @ios @high-risk @1-devices","Visual Checks","2026-07-30","passed","2026-07-30","","Settings","",""
"","35403","Unsend message @ios @high-risk @2-devices","mobile","2026-07-30","failed","2026-07-30","","mobile/message_unsend.spec.ts","",""
"","45642","Delete contact from conversation settings @ios @high-risk @3-devices","User Actions","2026-07-30","failed","2026-07-30","","Delete Contact","",""
"","147295","Block message request in conversation @ios @high-risk @3-devices","mobile","2026-07-30","failed","2026-07-30","","mobile/message_requests_block.spec.ts","",""
"Verifies that an admin can delete a group successfully via the UI.
  The group members see the empty state control message, and the admin's conversation disappears from the home screen, even on a linked device.","86510","Delete group linked device @ios @high-risk @4-devices","Groups","2026-07-30","failed","2026-07-30","","Leave/Delete Group","",""
"Verifies that a group created on one device appears on a linked device, and that a group name change syncs to all members.","147763","Create group and change name syncs @ios @high-risk @4-devices","Groups","2026-07-30","failed","2026-07-30","","Create Group","",""
"","142213","Accept message request @ios @high-risk @3-devices","mobile","2026-07-30","failed","2026-07-30","","mobile/message_requests_accept.spec.ts","",""
"Verifies the in-app review modal texts and buttons for the negative flow (Enjoying Session - Give Feedback - Open URL)","25432","Review prompt negative flow @ios @high-risk @1-devices","In-App Review Prompt","2026-07-30","passed","2026-07-30","","Flows","",""
"Verifies that turning off Disappearing Messages works as expected in a 1:1 conversation","67272","Disappear after send off 1:1 @ios @high-risk @3-devices","Disappearing Messages","2026-07-30","failed","2026-07-30","","Conversation Types","",""
"Verifies that the Settings donation link is correct and that the HTTP request is successful (200)","33421","Donate Settings menu item @ios @high-risk @1-devices","Donations","2026-07-30","passed","2026-07-30","","mobile/donate.spec.ts","",""
"","36477","Send document 1:1 @ios @high-risk @2-devices","mobile","2026-07-30","failed","2026-07-30","","mobile/message_document.spec.ts","",""
"Verifies that the Notifications settings screen layout matches the expected baseline","20323","Check Notifications settings layout @ios @high-risk @1-devices","Visual Checks","2026-07-30","passed","2026-07-30","","Settings","",""
"Verifies that a blocked user syncs to a linked device","67773","Block user linked device @ios @high-risk @3-devices","User Actions","2026-07-30","failed","2026-07-30","","Block/Unblock","",""
"","83848","Accept message request with text @ios @high-risk @2-devices","mobile","2026-07-30","failed","2026-07-30","","mobile/message_requests_accept_text_reply.spec.ts","",""
"Verifies that 'Disappear After Read' can be set in a 1:1 conversation, and that a message disappears after the specified expiry time.","51118","Disappear after read @ios @high-risk @2-devices","Disappearing Messages","2026-07-30","failed","2026-07-30","","Conversation Types","",""
"Verifies that an emoji reaction can be sent and is received in a 1-1 conversation.","37456","Send emoji react 1:1 @ios @high-risk @2-devices","Sending Messages","2026-07-30","failed","2026-07-30","","Emoji reacts","",""
"Verifies that when a message is deleted on one device, it shows as deleted on a linked device too.","70505","Delete message linked device @ios @high-risk @3-devices","User Actions","2026-07-30","failed","2026-07-30","","Delete Message","",""
"Verifies that inviting a contact (Android: without chat history) works as expected.","76386","Invite contact to group without chat history @ios @high-risk @4-devices","Groups","2026-07-30","failed","2026-07-30","","Edit Group","",""
"Verifies that a user can set a nickname for a contact and that it appears correctly in the conversation settings, conversation header and home screen.","38454","Set nickname @ios @high-risk @2-devices","User Actions","2026-07-30","failed","2026-07-30","","Set Nickname","",""
"","40376","Send link 1:1 @ios @high-risk @2-devices","mobile","2026-07-30","failed","2026-07-30","","mobile/message_link_preview.spec.ts","",""
"","15458","Onboarding privacy policy @ios @high-risk @1-devices","mobile","2026-07-30","passed","2026-07-30","","mobile/onboarding_pp.spec.ts","",""
"Verifies that joining a community works and the conversation syncs to a linked device","58907","Join community test @ios @high-risk @2-devices","New Conversation","2026-07-30","failed","2026-07-30","","Join Community","",""
"Verifies that the in-app review prompt shows after the user sets a different theme","23744","Review prompt Appearance trigger @ios @high-risk @1-devices","In-App Review Prompt","2026-07-30","passed","2026-07-30","","Triggers","",""
"Verifies that an emoji reaction can be sent and is received in a group.","67558","Send emoji react groups @ios @high-risk @3-devices","Sending Messages","2026-07-30","failed","2026-07-30","","Emoji reacts","",""
"Verifies that Disappearing Messages can be set in a group conversation, and that a message disappears after the specified expiry time.","59134","Disappear after send groups @ios @high-risk @3-devices","Disappearing Messages","2026-07-30","failed","2026-07-30","","Conversation Types","",""
"Verifies that the Privacy settings screen layout matches the expected baseline","15233","Check Privacy settings layout @ios @high-risk @1-devices","Visual Checks","2026-07-30","passed","2026-07-30","","Settings","",""
"","46098","Delete conversation from conversation settings @ios @high-risk @3-devices","User Actions","2026-07-30","failed","2026-07-30","","Delete Conversation","",""
"Verifies the in-app review modal texts and buttons for the positive flow (Enjoying Session - Rate App)","21797","Review prompt positive flow @ios @high-risk @1-devices","In-App Review Prompt","2026-07-30","passed","2026-07-30","","Flows","",""
"","38247","Send voice message 1:1 @ios @high-risk @2-devices","mobile","2026-07-30","failed","2026-07-30","","mobile/message_voice.spec.ts","",""
"Verifies that the Donate CTA is shown after dismissing the positive review prompt; verifies modal strings and screenshot; and that the Donate button shows the correct Open URL modal.","58566","Donate CTA shows after positive review @ios @high-risk @1-devices","Donations","2026-07-30","failed","2026-07-30","","mobile/cta_donate_review.spec.ts","",""
"Verifies that the Appearance settings screen layout matches the expected baseline","13637","Check Appearance settings layout @ios @high-risk @1-devices","Visual Checks","2026-07-30","passed","2026-07-30","","Settings","",""
"Verifies that a group of 3 can be created successfully via the UI","126104","Create group @ios @high-risk @3-devices","Groups","2026-07-30","failed","2026-07-30","","Create Group","",""
"Verifies that a non-admin member can leave a group successfully via the UI","76763","Leave group @ios @high-risk @3-devices","Groups","2026-07-30","failed","2026-07-30","","Leave/Delete Group","",""
"Verifies that the in-app review prompt shows after the user presses the Donate button in Settings","21720","Review prompt Donate trigger @ios @high-risk @1-devices","In-App Review Prompt","2026-07-30","passed","2026-07-30","","Triggers","",""
"Verifies message length behavior at 2000 characters - countdown shows 0, message sends (non Pro)","38036","Message length limit (2000 chars non Pro) @ios @high-risk @1-devices","Sending Messages","2026-07-30","passed","2026-07-30","","Rules","",""
"","42532","Delete conversation from conversation list @ios @high-risk @3-devices","User Actions","2026-07-30","failed","2026-07-30","","Delete Conversation","",""
"Verifies that the Settings page screen layout matches the expected baseline","16913","Check Settings page layout @ios @high-risk @1-devices","Visual Checks","2026-07-30","passed","2026-07-30","","Settings","",""
"Verifies that a user can be blocked from the conversation settings","36636","Block user in conversation settings @ios @high-risk @2-devices","User Actions","2026-07-30","failed","2026-07-30","","Block/Unblock","",""
"Verifies that restoring an account works as expected: Display Name and Account ID match, no Recovery password banner on home screen.","175429","Link device @ios @high-risk @2-devices","Onboarding","2026-07-30","passed","2026-07-30","","Restore account","",""
"","127651","Create contact @ios @high-risk @3-devices","mobile","2026-07-30","failed","2026-07-30","","mobile/user_actions_create_contact.spec.ts","",""
"","24457","Create user @ios @high-risk @1-devices","mobile","2026-07-30","passed","2026-07-30","","mobile/user_actions_create_user.spec.ts","",""
"Verifies that a link with preview can be sent to a group, all members receive the document, and replying to a document works as expected","83852","Send link to group @ios @high-risk @3-devices","Sending Messages","2026-07-30","failed","2026-07-30","","Message types","",""
"Verifies that global deletion in a group deletes a message for every participant.","83567","Delete message for all in group @ios @high-risk @3-devices","User Actions","2026-07-30","failed","2026-07-30","","Delete Message","",""
"Verifies message length behavior at 1799 characters - no countdown shows, message sends (non Pro)","42361","Message length limit (1799 chars non Pro) @ios @high-risk @1-devices","Sending Messages","2026-07-30","passed","2026-07-30","","Rules","",""
"","130889","Delete message request in conversation @ios @high-risk @3-devices","mobile","2026-07-30","failed","2026-07-30","","mobile/message_requests_decline.spec.ts","",""
"Verifies that ONS resolution works","21679","ONS resolution @ios @high-risk @1-devices","New Conversation","2026-07-30","failed","2026-07-30","","New Message","",""
"Verifies message length behavior at 2001 characters - countdown shows -1, cannot send message (non Pro)","45742","Message length limit (2001 chars non Pro) @ios @high-risk @1-devices","Sending Messages","2026-07-30","passed","2026-07-30","","Rules","",""
"Verifies that 'Disappear After Send' works as expected in a 1:1 conversation","56702","Disappear after send @ios @high-risk @2-devices","Disappearing Messages","2026-07-30","failed","2026-07-30","","Conversation Types","",""
"Verifies that a PDF can be sent to a group, all members receive the document, and replying to a document works as expected","71854","Send document to group @ios @high-risk @3-devices","Sending Messages","2026-07-30","failed","2026-07-30","","Message types","",""
"Verifies that a voice message can be sent to a group, all members receive it, and replying to it works as expected","82975","Send voice message to group @ios @high-risk @3-devices","Sending Messages","2026-07-30","failed","2026-07-30","","Message types","",""
"Verifies that an image can be sent to a group, all members receive the document, and replying to a document works as expected","79237","Send image to group @ios @high-risk @3-devices","Sending Messages","2026-07-30","failed","2026-07-30","","Message types","",""
"Verifies that a group (and its messages) created on one device appears when restoring on a second device.","276902","Restore group @ios @high-risk @4-devices","Groups","2026-07-30","failed","2026-07-30","","Create Group","",""
"Verifies that leaving a group syncs to a linked device","221142","Leave group linked device @ios @high-risk @4-devices","Groups","2026-07-30","failed","2026-07-30","","Leave/Delete Group","",""
"Verifies that message bubbles appear as expected (oneline and multiline messages, reply layout, outgoing/incoming)","35772","Check message bubble layout @ios @high-risk @2-devices","Visual Checks","2026-07-30","failed","2026-07-30","","Conversation","",""
"","84153","Delete message request in list @ios @high-risk @2-devices","mobile","2026-07-30","failed","2026-07-30","","mobile/message_requests_delete.spec.ts","",""
"Mocks a custom install date 7 days 2 minutes ago, opens the app, and verifies that the Donate CTA is shown.","41970","Donate CTA shows if app installed >=7 days ago @ios @high-risk @1-devices","Donations","2026-07-30","passed","2026-07-30","","mobile/cta_donate_time.spec.ts","",""
"Verifies voice call functionality and permission flow:
    - Verifies strings of all call permission prompts (microphone, notifications, etc.)
    - Verifies missed call notifications when recipient lacks permissions
    - Confirms successful call connection once both users enable permissions
    - Verifies control messages after call is finished
    Note that due to the nature of virtual devices, no actual ""talking"" takes place","33766","Voice calls @ios @high-risk @2-devices","Voice Calls","2026-07-30","failed","2026-07-30","","mobile/voice_calls.spec.ts","",""
"Verifies that the latest release banner is no longer present on the Create Group screen","53215","Create group banner @ios @high-risk @2-devices","Groups","2026-07-30","failed","2026-07-30","","Create Group","",""
"","37962","Send image 1:1 @ios @high-risk @2-devices","mobile","2026-07-30","failed","2026-07-30","","mobile/message_image.spec.ts","",""
"","16328","Onboarding terms of service @ios @high-risk @1-devices","mobile","2026-07-30","passed","2026-07-30","","mobile/onboarding_tos.spec.ts","",""
"Verifies that local deletion in a group does not delete a message for other participants.","62402","Delete message locally in group @ios @high-risk @3-devices","User Actions","2026-07-30","failed","2026-07-30","","Delete Message","",""
