"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39931","Block user linked device @ios @high-risk @3-devices","","Fri Jun 06 17:02:42 AEST 2025","passed","Fri Jun 06 17:03:22 AEST 2025","","linked_device_block_user.spec.ts","",""
"","293008","Disappear after read @ios @high-risk @2-devices","","Fri Jun 06 16:45:43 AEST 2025","passed","Fri Jun 06 16:50:36 AEST 2025","","disappear_after_read.spec.ts","",""
"","57486","Send image to group @ios @high-risk @3-devices","","Fri Jun 06 16:56:17 AEST 2025","failed","Fri Jun 06 16:57:15 AEST 2025","","group_message_image.spec.ts","",""
"","310434","Disappear after send groups @ios @high-risk @3-devices","","Fri Jun 06 16:45:43 AEST 2025","passed","Fri Jun 06 16:50:54 AEST 2025","","disappear_after_send_groups.spec.ts","",""
"","410895","Disappear after send @ios @high-risk @2-devices","","Fri Jun 06 16:50:36 AEST 2025","passed","Fri Jun 06 16:57:27 AEST 2025","","disappear_after_send.spec.ts","",""
"","4","Voice calls @ios @high-risk @2-devices","","Fri Jun 06 17:28:43 AEST 2025","skipped","Fri Jun 06 17:28:43 AEST 2025","","voice_calls.spec.ts","",""
"","259903","Join community test @ios @high-risk @2-devices","","Fri Jun 06 16:45:43 AEST 2025","passed","Fri Jun 06 16:50:03 AEST 2025","","community_tests_join.spec.ts","",""
"","97650","Accept message request @ios @high-risk @3-devices","","Fri Jun 06 17:24:55 AEST 2025","passed","Fri Jun 06 17:26:32 AEST 2025","","message_requests_accept.spec.ts","",""
"","90022","Send document to group @ios @high-risk @3-devices","","Fri Jun 06 16:54:07 AEST 2025","passed","Fri Jun 06 16:55:37 AEST 2025","","group_message_document.spec.ts","",""
"","30900","Create group banner @ios @high-risk @2-devices","","Fri Jun 06 16:58:44 AEST 2025","passed","Fri Jun 06 16:59:15 AEST 2025","","group_tests_create_group_banner.spec.ts","",""
"","81544","Block message request in conversation @ios @high-risk @3-devices","","Fri Jun 06 17:26:09 AEST 2025","passed","Fri Jun 06 17:27:31 AEST 2025","","message_requests_block.spec.ts","",""
"","471806","Leave group linked device @ios @high-risk @4-devices","","Fri Jun 06 17:15:40 AEST 2025","passed","Fri Jun 06 17:23:32 AEST 2025","","linked_group_leave.spec.ts","",""
"","47634","Link device @ios @high-risk @2-devices","","Fri Jun 06 17:06:51 AEST 2025","passed","Fri Jun 06 17:07:39 AEST 2025","","linked_device.spec.ts","",""
"","57646","Leave group @ios @high-risk @3-devices","","Fri Jun 06 17:02:10 AEST 2025","passed","Fri Jun 06 17:03:07 AEST 2025","","group_tests_leave_group.spec.ts","",""
"","207288","Create group @ios @high-risk @3-devices","","Fri Jun 06 16:59:15 AEST 2025","passed","Fri Jun 06 17:02:42 AEST 2025","","group_tests_create_group.spec.ts","",""
"","284437","Restore group @ios @high-risk @4-devices","","Fri Jun 06 17:19:11 AEST 2025","passed","Fri Jun 06 17:23:56 AEST 2025","","linked_device_restore_group.spec.ts","",""
"","39656","Send image 1:1 @ios @high-risk @2-devices","","Fri Jun 06 17:25:30 AEST 2025","failed","Fri Jun 06 17:26:09 AEST 2025","","message_image.spec.ts","",""
"","82602","Send voice message to group @ios @high-risk @3-devices","","Fri Jun 06 17:05:28 AEST 2025","passed","Fri Jun 06 17:06:51 AEST 2025","","group_message_voice.spec.ts","",""
"","59039","Send link 1:1 @ios @high-risk @2-devices","","Fri Jun 06 17:23:56 AEST 2025","passed","Fri Jun 06 17:24:55 AEST 2025","","message_link_preview.spec.ts","",""
"","59393","Set nickname @ios @high-risk @2-devices","","Fri Jun 06 17:28:32 AEST 2025","passed","Fri Jun 06 17:29:31 AEST 2025","","user_actions_set_nickname.spec.ts","",""
"","79951","Delete message in group @ios @high-risk @3-devices","","Fri Jun 06 16:53:13 AEST 2025","passed","Fri Jun 06 16:54:33 AEST 2025","","group_message_delete.spec.ts","",""
"","93994","Delete message locally @ios @high-risk @2-devices","","Fri Jun 06 17:21:15 AEST 2025","passed","Fri Jun 06 17:22:49 AEST 2025","","message_deletion.spec.ts","",""
